S.No.,Date,Temperature (Celsius),Temperature (Kelvin),Temperature (Fahrenheit),Precipitation (mm),Wind Speed (km/h)
43,12-02-10,18,291.15,64.4,6.845473277,29
44,13-02-10,25,298.15,77,4.340891483,39
45,14-02-10,15,288.15,59,3.949011059,19
46,15-02-10,21,294.15,69.8,1.153048492,50
47,16-02-10,5,278.15,41,2.611767902,13
48,17-02-10,13,286.15,55.4,9.181696074,24
49,18-02-10,-8,265.15,17.6,9.333543341,26
50,19-02-10,1,274.15,33.8,4.070595983,42
51,20-02-10,15,288.15,59,3.918230363,29
52,21-02-10,11,284.15,51.8,3.534210873,31
53,22-02-10,0,273.15,32,7.898991084,8
54,23-02-10,16,289.15,60.8,1.52852323,10
55,24-02-10,28,301.15,82.4,9.495827089,28
56,25-02-10,28,301.15,82.4,7.42288079,40
57,26-02-10,8,281.15,46.4,7.670342174,23
58,27-02-10,-9,264.15,15.8,2.775565783,26
59,28-02-10,3,276.15,37.4,8.60379888,2
60,01-03-10,13,286.15,55.4,1.899551564,24
61,02-03-10,13,286.15,55.4,6.55656312,26
62,03-03-10,-8,265.15,17.6,3.278366178,41
63,04-03-10,23,296.15,73.4,6.367615903,11
64,05-03-10,28,301.15,82.4,5.260552113,15
65,06-03-10,0,273.15,32,2.070854954,29
66,07-03-10,16,289.15,60.8,6.058646149,34
67,08-03-10,6,279.15,42.8,7.947357795,18
68,09-03-10,25,298.15,77,8.628169053,29
69,10-03-10,6,279.15,42.8,7.070733335,25
70,11-03-10,14,287.15,57.2,1.389664717,5
71,12-03-10,8,281.15,46.4,5.84208909,29
72,13-03-10,4,277.15,39.2,3.524443423,30
73,14-03-10,23,296.15,73.4,8.726684042,33
74,15-03-10,6,279.15,42.8,1.488931429,26
75,16-03-10,24,297.15,75.2,9.569004709,39
76,17-03-10,20,293.15,68,9.070826895,12
77,18-03-10,21,294.15,69.8,2.910371384,9
78,19-03-10,6,279.15,42.8,4.260152843,49
79,20-03-10,13,286.15,55.4,2.154397907,26
80,21-03-10,-7,266.15,19.4,1.578902589,6
81,22-03-10,-5,268.15,23,6.972632085,14
82,23-03-10,23,296.15,73.4,2.57709986,4
83,24-03-10,20,293.15,68,5.347786879,22
84,25-03-10,-4,269.15,24.8,2.980420432,48
85,26-03-10,20,293.15,68,4.315488949,8
86,27-03-10,-6,267.15,21.2,0.276332404,4
87,28-03-10,25,298.15,77,4.501160091,31
88,29-03-10,3,276.15,37.4,9.985670724,4
89,30-03-10,-1,272.15,30.2,1.406086771,46
90,31-03-10,-10,263.15,14,5.97960395,42
91,01-04-10,-2,271.15,28.4,7.094218416,19
92,02-04-10,2,275.15,35.6,4.162786377,46
93,03-04-10,0,273.15,32,0.677486503,48
94,04-04-10,1,274.15,33.8,9.91145336,46
95,05-04-10,18,291.15,64.4,1.531387162,33
96,06-04-10,0,273.15,32,5.338385598,17
97,07-04-10,12,285.15,53.6,2.12544111,6
98,08-04-10,28,301.15,82.4,2.543149615,49
99,09-04-10,22,295.15,71.6,4.898541756,4
100,10-04-10,2,275.15,35.6,0.241377377,40
101,11-04-10,23,296.15,73.4,7.783609492,3
102,12-04-10,-9,264.15,15.8,4.959088512,36
103,13-04-10,16,289.15,60.8,9.666767191,27
104,14-04-10,11,284.15,51.8,1.503755222,29
105,15-04-10,15,288.15,59,5.108762439,3
106,16-04-10,-6,267.15,21.2,0.534507713,12
107,17-04-10,30,303.15,86,7.935834036,18
108,18-04-10,15,288.15,59,1.988011949,1
109,19-04-10,19,292.15,66.2,0.443004718,34
110,20-04-10,18,291.15,64.4,3.320824312,27
111,21-04-10,-3,270.15,26.6,2.724048333,8
112,22-04-10,13,286.15,55.4,9.868683114,15
113,23-04-10,4,277.15,39.2,5.869110636,36
114,24-04-10,7,280.15,44.6,5.720848756,27
115,25-04-10,27,300.15,80.6,5.636308414,3
116,26-04-10,1,274.15,33.8,2.525301378,2
117,27-04-10,27,300.15,80.6,6.843602848,48
118,28-04-10,26,299.15,78.8,9.645740807,31
119,29-04-10,9,282.15,48.2,4.449493496,21
120,30-04-10,-4,269.15,24.8,6.472135274,22
121,01-05-10,26,299.15,78.8,8.468285828,21
122,02-05-10,3,276.15,37.4,9.841749999,35
123,03-05-10,29,302.15,84.2,1.542653587,12
124,04-05-10,-1,272.15,30.2,4.285161596,18
125,05-05-10,-9,264.15,15.8,9.803813141,37
126,06-05-10,11,284.15,51.8,1.369092236,23
127,07-05-10,29,302.15,84.2,6.451348343,39
128,08-05-10,25,298.15,77,2.95932068,43
129,09-05-10,11,284.15,51.8,2.082803842,6
130,10-05-10,-5,268.15,23,8.634601763,4
131,11-05-10,9,282.15,48.2,0.85282584,20
132,12-05-10,-4,269.15,24.8,4.796940985,33
133,13-05-10,8,281.15,46.4,0.524136977,19
134,14-05-10,17,290.15,62.6,9.142322503,1
135,15-05-10,8,281.15,46.4,5.553075112,16
136,16-05-10,22,295.15,71.6,8.48183957,33
137,17-05-10,13,286.15,55.4,0.21654646,16
138,18-05-10,5,278.15,41,0.469686282,18
139,19-05-10,25,298.15,77,2.890281717,19
140,20-05-10,-2,271.15,28.4,0.209704644,31
141,21-05-10,20,293.15,68,5.192498405,15
142,22-05-10,24,297.15,75.2,3.164541264,34
143,23-05-10,7,280.15,44.6,7.862174923,0
144,24-05-10,10,283.15,50,1.888802711,29
145,25-05-10,25,298.15,77,5.653549553,46
146,26-05-10,-9,264.15,15.8,3.844745286,50
147,27-05-10,-1,272.15,30.2,5.380309704,15
148,28-05-10,-8,265.15,17.6,0.928511167,44
149,29-05-10,-6,267.15,21.2,3.329516861,32
150,30-05-10,6,279.15,42.8,0.92742448,29
151,31-05-10,5,278.15,41,4.255129034,3
152,01-06-10,17,290.15,62.6,1.919879865,28
153,02-06-10,24,297.15,75.2,3.09114042,10
154,03-06-10,-3,270.15,26.6,0.285345004,11
155,04-06-10,-8,265.15,17.6,7.188544278,20
156,05-06-10,3,276.15,37.4,7.979095443,25
157,06-06-10,-7,266.15,19.4,8.607174184,37
158,07-06-10,-7,266.15,19.4,0.64437981,31
159,08-06-10,29,302.15,84.2,7.064372685,39
160,09-06-10,9,282.15,48.2,3.241838386,45
161,10-06-10,20,293.15,68,2.309333844,25
162,11-06-10,1,274.15,33.8,6.526893491,16
163,12-06-10,-10,263.15,14,0.932650362,39
164,13-06-10,29,302.15,84.2,3.70198343,4
165,14-06-10,2,275.15,35.6,4.730683257,49
166,15-06-10,25,298.15,77,5.971654015,37
167,16-06-10,5,278.15,41,0.423796147,41
168,17-06-10,1,274.15,33.8,1.190672972,24
169,18-06-10,4,277.15,39.2,8.167704469,44
170,19-06-10,10,283.15,50,8.845257829,31
171,20-06-10,19,292.15,66.2,0.708630272,27
172,21-06-10,6,279.15,42.8,9.560289713,11
173,22-06-10,7,280.15,44.6,3.134734779,25
174,23-06-10,-1,272.15,30.2,3.522720082,48
175,24-06-10,-7,266.15,19.4,2.11819636,37
176,25-06-10,7,280.15,44.6,4.917669165,7
177,26-06-10,20,293.15,68,8.61939017,38
178,27-06-10,-1,272.15,30.2,4.000437812,19
179,28-06-10,-2,271.15,28.4,1.345687627,12
180,29-06-10,4,277.15,39.2,7.254155266,18
181,30-06-10,9,282.15,48.2,8.218701367,12
182,01-07-10,11,284.15,51.8,0.028113828,39
183,02-07-10,29,302.15,84.2,2.340213049,16
184,03-07-10,24,297.15,75.2,6.27016461,11
185,04-07-10,-8,265.15,17.6,4.804601121,11
186,05-07-10,-3,270.15,26.6,0.348492267,32
187,06-07-10,12,285.15,53.6,6.567325144,22
188,07-07-10,26,299.15,78.8,2.009214383,8
189,08-07-10,17,290.15,62.6,2.886902419,38
190,09-07-10,-8,265.15,17.6,9.626449287,20
191,10-07-10,15,288.15,59,5.925639065,41
192,11-07-10,23,296.15,73.4,1.070425918,41
193,12-07-10,-3,270.15,26.6,5.815348064,20
194,13-07-10,2,275.15,35.6,8.799500116,21
195,14-07-10,26,299.15,78.8,3.623963084,33
196,15-07-10,27,300.15,80.6,6.826561954,10
197,16-07-10,29,302.15,84.2,8.957980452,9
198,17-07-10,13,286.15,55.4,5.826361684,43
199,18-07-10,-8,265.15,17.6,8.376140831,15
200,19-07-10,25,298.15,77,2.669576428,36
201,20-07-10,27,300.15,80.6,5.482422429,9
202,21-07-10,25,298.15,77,7.952634094,40
203,22-07-10,26,299.15,78.8,9.56453192,32
204,23-07-10,21,294.15,69.8,8.837179484,33
205,24-07-10,2,275.15,35.6,4.88287584,24
206,25-07-10,25,298.15,77,4.200938192,48
207,26-07-10,30,303.15,86,9.1138386,19
208,27-07-10,26,299.15,78.8,8.747182987,22
209,28-07-10,-7,266.15,19.4,3.267600944,42
210,29-07-10,29,302.15,84.2,3.333620974,30
211,30-07-10,22,295.15,71.6,5.129650083,3
212,31-07-10,27,300.15,80.6,4.952191769,29
213,01-08-10,16,289.15,60.8,0.671485124,7
214,02-08-10,8,281.15,46.4,1.160628551,30
215,03-08-10,26,299.15,78.8,6.697879571,8
216,04-08-10,-1,272.15,30.2,4.379497741,41
217,05-08-10,6,279.15,42.8,9.819459249,9
218,06-08-10,-7,266.15,19.4,1.849238038,9
219,07-08-10,25,298.15,77,9.591034234,47
220,08-08-10,1,274.15,33.8,6.799563533,7
221,09-08-10,-8,265.15,17.6,2.967320939,0
222,10-08-10,-8,265.15,17.6,2.100029253,28
223,11-08-10,25,298.15,77,8.313169612,29
224,12-08-10,-8,265.15,17.6,8.708604021,50
225,13-08-10,14,287.15,57.2,4.780130167,47
226,14-08-10,29,302.15,84.2,3.935759423,16
227,15-08-10,1,274.15,33.8,8.696857346,36
228,16-08-10,5,278.15,41,3.808107182,37
229,17-08-10,29,302.15,84.2,8.337745241,33
230,18-08-10,21,294.15,69.8,2.795176928,13
231,19-08-10,12,285.15,53.6,4.760904232,48
232,20-08-10,-8,265.15,17.6,8.692570621,10
233,21-08-10,5,278.15,41,5.97649991,18
234,22-08-10,5,278.15,41,9.548225,28
235,23-08-10,-5,268.15,23,2.32693707,8
236,24-08-10,5,278.15,41,3.09275548,5
237,25-08-10,28,301.15,82.4,0.408090736,50
238,26-08-10,-8,265.15,17.6,2.31702938,1
239,27-08-10,30,303.15,86,5.669364116,5
240,28-08-10,-5,268.15,23,4.513688909,25
241,29-08-10,19,292.15,66.2,3.595893604,47
242,30-08-10,-1,272.15,30.2,4.253649389,32
243,31-08-10,-5,268.15,23,6.424487846,17
244,01-09-10,26,299.15,78.8,0.168495741,22
245,02-09-10,-10,263.15,14,9.796773445,37
246,03-09-10,-5,268.15,23,1.758434728,9
247,04-09-10,18,291.15,64.4,0.346606151,19
248,05-09-10,-4,269.15,24.8,8.119555468,45
249,06-09-10,12,285.15,53.6,5.527448927,37
250,07-09-10,12,285.15,53.6,7.285959138,50
251,08-09-10,11,284.15,51.8,5.9153696,21
252,09-09-10,17,290.15,62.6,5.08846832,13
253,10-09-10,16,289.15,60.8,5.675036562,34
254,11-09-10,25,298.15,77,5.483463979,5
255,12-09-10,30,303.15,86,7.871221333,15
256,13-09-10,3,276.15,37.4,9.339552189,5
257,14-09-10,18,291.15,64.4,3.587316019,28
258,15-09-10,-2,271.15,28.4,8.879650623,22
259,16-09-10,28,301.15,82.4,8.089654663,16
260,17-09-10,18,291.15,64.4,0.425698429,22
261,18-09-10,24,297.15,75.2,9.747046922,42
262,19-09-10,7,280.15,44.6,7.763998663,16
263,20-09-10,30,303.15,86,2.007080592,48
264,21-09-10,26,299.15,78.8,0.283831287,6
265,22-09-10,-10,263.15,14,4.197202876,37
266,23-09-10,22,295.15,71.6,0.009915472,7
267,24-09-10,26,299.15,78.8,2.551820809,25
268,25-09-10,-3,270.15,26.6,1.986767579,28
269,26-09-10,-4,269.15,24.8,5.726760633,14
270,27-09-10,4,277.15,39.2,5.593788773,26
271,28-09-10,-2,271.15,28.4,2.914293194,15
272,29-09-10,16,289.15,60.8,5.396701667,28
273,30-09-10,14,287.15,57.2,8.95455915,18
274,01-10-10,-10,263.15,14,0.506312986,28
275,02-10-10,7,280.15,44.6,5.379155239,16
276,03-10-10,7,280.15,44.6,9.696185202,13
277,04-10-10,22,295.15,71.6,9.942955186,22
278,05-10-10,18,291.15,64.4,4.088348419,9
279,06-10-10,-3,270.15,26.6,8.956362148,32
280,07-10-10,10,283.15,50,8.930024496,5
281,08-10-10,0,273.15,32,2.554878742,31
282,09-10-10,27,300.15,80.6,5.530732882,35
283,10-10-10,23,296.15,73.4,6.458851549,45
284,11-10-10,4,277.15,39.2,3.045743405,23
285,12-10-10,29,302.15,84.2,2.265267337,40
286,13-10-10,18,291.15,64.4,3.545020299,10
287,14-10-10,24,297.15,75.2,7.91102767,26
288,15-10-10,2,275.15,35.6,6.627577707,8
289,16-10-10,21,294.15,69.8,6.264420143,50
290,17-10-10,6,279.15,42.8,0.550178831,20
291,18-10-10,25,298.15,77,5.768706595,34
292,19-10-10,-8,265.15,17.6,7.203332052,30
293,20-10-10,13,286.15,55.4,4.374290876,50
294,21-10-10,-8,265.15,17.6,3.917053961,33
295,22-10-10,7,280.15,44.6,5.853766388,4
296,23-10-10,12,285.15,53.6,3.547837856,45
297,24-10-10,8,281.15,46.4,9.398119187,36
298,25-10-10,20,293.15,68,3.194337919,3
299,26-10-10,-6,267.15,21.2,6.73416243,17
300,27-10-10,25,298.15,77,2.758789861,40
301,28-10-10,-1,272.15,30.2,6.595627329,26
302,29-10-10,11,284.15,51.8,4.424113249,16
303,30-10-10,28,301.15,82.4,1.593724932,5
304,31-10-10,-10,263.15,14,4.897367806,6
305,01-11-10,1,274.15,33.8,7.670473129,35
306,02-11-10,-5,268.15,23,0.449005571,42
307,03-11-10,7,280.15,44.6,3.988878415,39
308,04-11-10,19,292.15,66.2,1.895676899,45
309,05-11-10,4,277.15,39.2,5.435526362,8
310,06-11-10,12,285.15,53.6,1.740558432,40
311,07-11-10,23,296.15,73.4,7.057075767,7
312,08-11-10,5,278.15,41,3.816898611,2
313,09-11-10,-2,271.15,28.4,9.826071787,42
314,10-11-10,22,295.15,71.6,9.532064182,8
315,11-11-10,25,298.15,77,9.717673981,10
316,12-11-10,8,281.15,46.4,8.310198698,29
317,13-11-10,0,273.15,32,7.3483315,24
318,14-11-10,4,277.15,39.2,9.319320369,11
319,15-11-10,-8,265.15,17.6,7.798902758,12
320,16-11-10,4,277.15,39.2,0.778415293,18
321,17-11-10,5,278.15,41,2.408982672,38
322,18-11-10,6,279.15,42.8,6.643678475,49
323,19-11-10,21,294.15,69.8,7.015264514,10
324,20-11-10,30,303.15,86,1.418734552,39
325,21-11-10,-2,271.15,28.4,7.842591306,15
326,22-11-10,-1,272.15,30.2,2.351080729,20
327,23-11-10,21,294.15,69.8,0.184305999,11
328,24-11-10,-9,264.15,15.8,2.042901313,32
329,25-11-10,-7,266.15,19.4,5.798337613,18
330,26-11-10,16,289.15,60.8,6.882163764,33
331,27-11-10,-3,270.15,26.6,1.898006967,1
332,28-11-10,23,296.15,73.4,0.378510886,50
333,29-11-10,27,300.15,80.6,0.822640302,23
334,30-11-10,-5,268.15,23,7.782898335,36
335,01-12-10,16,289.15,60.8,8.781004634,2
336,02-12-10,1,274.15,33.8,8.202772548,45
337,03-12-10,18,291.15,64.4,6.193284693,29
338,04-12-10,30,303.15,86,4.886038736,27
339,05-12-10,6,279.15,42.8,2.103829052,6
340,06-12-10,-2,271.15,28.4,3.848929455,36
341,07-12-10,-2,271.15,28.4,0.888233393,11
342,08-12-10,21,294.15,69.8,3.049723569,24
343,09-12-10,12,285.15,53.6,7.87235741,29
344,10-12-10,-9,264.15,15.8,5.345559784,28
345,11-12-10,23,296.15,73.4,4.577332402,49
346,12-12-10,25,298.15,77,7.043401808,42
347,13-12-10,30,303.15,86,2.319776879,23
348,14-12-10,26,299.15,78.8,6.931070379,15
349,15-12-10,-4,269.15,24.8,0.372604614,32
350,16-12-10,8,281.15,46.4,1.675350077,39
351,17-12-10,2,275.15,35.6,7.136359364,37
352,18-12-10,24,297.15,75.2,3.935154158,36
353,19-12-10,19,292.15,66.2,5.03940721,23
354,20-12-10,-9,264.15,15.8,6.206342495,1
355,21-12-10,6,279.15,42.8,5.207062737,24
356,22-12-10,2,275.15,35.6,6.488459489,34
357,23-12-10,18,291.15,64.4,0.340320572,9
358,24-12-10,-6,267.15,21.2,6.256135066,35
359,25-12-10,-2,271.15,28.4,3.775116806,44
360,26-12-10,-6,267.15,21.2,4.329317419,40
361,27-12-10,-1,272.15,30.2,0.143049053,16
362,28-12-10,4,277.15,39.2,1.378406357,42
363,29-12-10,8,281.15,46.4,6.575814128,10
364,30-12-10,25,298.15,77,6.685838197,27
365,31-12-10,11,284.15,51.8,3.576019765,32
366,01-01-11,18,291.15,64.4,0.493870006,3
367,02-01-11,-3,270.15,26.6,1.513804854,36
368,03-01-11,23,296.15,73.4,9.240150353,32
369,04-01-11,24,297.15,75.2,7.885847447,1
370,05-01-11,1,274.15,33.8,0.114907688,32
371,06-01-11,21,294.15,69.8,0.171232602,10
372,07-01-11,-6,267.15,21.2,8.047613394,34
373,08-01-11,2,275.15,35.6,5.468546889,7
374,09-01-11,16,289.15,60.8,1.331013081,38
375,10-01-11,11,284.15,51.8,5.362709721,17
376,11-01-11,-10,263.15,14,7.408058279,48
377,12-01-11,-3,270.15,26.6,4.338783547,33
378,13-01-11,27,300.15,80.6,4.582802941,9
379,14-01-11,-8,265.15,17.6,9.515885874,14
380,15-01-11,22,295.15,71.6,7.149771841,17
381,16-01-11,24,297.15,75.2,8.896250209,42
382,17-01-11,6,279.15,42.8,0.369083884,0
383,18-01-11,29,302.15,84.2,1.850588339,10
384,19-01-11,21,294.15,69.8,6.218153717,35
385,20-01-11,-10,263.15,14,4.7499483,1
386,21-01-11,28,301.15,82.4,8.878532621,12
387,22-01-11,20,293.15,68,3.911945224,33
388,23-01-11,19,292.15,66.2,4.296363258,8
389,24-01-11,30,303.15,86,1.93725728,38
390,25-01-11,7,280.15,44.6,2.919794724,16
391,26-01-11,6,279.15,42.8,9.805262131,8
392,27-01-11,5,278.15,41,6.574168314,41
393,28-01-11,7,280.15,44.6,8.850553183,11
394,29-01-11,27,300.15,80.6,1.202183086,23
395,30-01-11,5,278.15,41,5.228064969,7
396,31-01-11,26,299.15,78.8,5.724261334,34
397,01-02-11,-4,269.15,24.8,8.999843824,40
398,02-02-11,9,282.15,48.2,3.639637309,22
399,03-02-11,-3,270.15,26.6,8.979713528,42
400,04-02-11,18,291.15,64.4,2.099358136,2
401,05-02-11,8,281.15,46.4,9.37374483,28
402,06-02-11,1,274.15,33.8,8.414414826,31
403,07-02-11,-1,272.15,30.2,7.178170673,13
404,08-02-11,30,303.15,86,5.710217313,32
405,09-02-11,-10,263.15,14,4.160907519,1
406,10-02-11,26,299.15,78.8,7.834576826,22
407,11-02-11,25,298.15,77,3.375998046,44
408,12-02-11,29,302.15,84.2,2.819734833,19
409,13-02-11,12,285.15,53.6,2.99404064,2
410,14-02-11,-6,267.15,21.2,2.063430517,10
411,15-02-11,-10,263.15,14,9.225164014,20
412,16-02-11,20,293.15,68,1.992146116,36
413,17-02-11,12,285.15,53.6,7.860607145,11
414,18-02-11,-8,265.15,17.6,9.268393562,31
415,19-02-11,4,277.15,39.2,0.718381701,41
416,20-02-11,14,287.15,57.2,9.0028915,12
417,21-02-11,5,278.15,41,5.412262662,40
418,22-02-11,23,296.15,73.4,2.844003953,12
419,23-02-11,1,274.15,33.8,6.555039637,25
420,24-02-11,30,303.15,86,5.251470559,36
421,25-02-11,3,276.15,37.4,3.572224098,41
422,26-02-11,-10,263.15,14,8.475058709,40
423,27-02-11,-5,268.15,23,8.731502795,6
424,28-02-11,5,278.15,41,6.346963852,13
425,01-03-11,12,285.15,53.6,9.135714431,23
426,02-03-11,15,288.15,59,0.216880171,28
427,03-03-11,6,279.15,42.8,4.482551209,12
428,04-03-11,29,302.15,84.2,8.377165246,10
429,05-03-11,-5,268.15,23,7.925530155,17
430,06-03-11,25,298.15,77,9.488559481,28
431,07-03-11,15,288.15,59,4.863451471,49
432,08-03-11,28,301.15,82.4,0.892991782,42
433,09-03-11,28,301.15,82.4,6.753420484,43
434,10-03-11,20,293.15,68,6.126486995,38
435,11-03-11,6,279.15,42.8,2.845221823,21
436,12-03-11,20,293.15,68,3.38647671,41
437,13-03-11,-1,272.15,30.2,4.568680752,39
438,14-03-11,7,280.15,44.6,1.842720592,17
439,15-03-11,19,292.15,66.2,0.912889253,30
440,16-03-11,21,294.15,69.8,7.944380428,47
441,17-03-11,29,302.15,84.2,0.867990803,13
442,18-03-11,11,284.15,51.8,7.388088445,27
443,19-03-11,13,286.15,55.4,1.975126728,29
444,20-03-11,25,298.15,77,6.8425763,6
445,21-03-11,22,295.15,71.6,1.849477755,46
446,22-03-11,28,301.15,82.4,7.453052037,44
447,23-03-11,-2,271.15,28.4,2.726010746,40
448,24-03-11,6,279.15,42.8,2.516821654,13
449,25-03-11,12,285.15,53.6,1.811966609,43
450,26-03-11,17,290.15,62.6,1.005887593,18
451,27-03-11,1,274.15,33.8,0.20120033,11
452,28-03-11,-7,266.15,19.4,4.697578492,17
453,29-03-11,27,300.15,80.6,4.65095105,18
454,30-03-11,7,280.15,44.6,4.740319551,19
455,31-03-11,-8,265.15,17.6,6.629558236,17
456,01-04-11,-9,264.15,15.8,7.845726307,39
457,02-04-11,23,296.15,73.4,6.622848582,26
458,03-04-11,5,278.15,41,6.610350499,32
459,04-04-11,30,303.15,86,9.555889375,24
460,05-04-11,-10,263.15,14,0.859782742,16
461,06-04-11,22,295.15,71.6,7.828621846,40
462,07-04-11,6,279.15,42.8,4.170247108,18
463,08-04-11,13,286.15,55.4,5.553141659,32
464,09-04-11,21,294.15,69.8,2.620021187,39
465,10-04-11,0,273.15,32,5.138022932,33
466,11-04-11,-8,265.15,17.6,5.048188737,27
467,12-04-11,11,284.15,51.8,0.622581466,40
468,13-04-11,29,302.15,84.2,5.101568646,39
469,14-04-11,21,294.15,69.8,9.059878919,42
470,15-04-11,5,278.15,41,9.850610403,20
471,16-04-11,30,303.15,86,7.424019864,36
472,17-04-11,15,288.15,59,6.530737088,20
473,18-04-11,-4,269.15,24.8,2.521070959,2
474,19-04-11,18,291.15,64.4,8.587591641,27
475,20-04-11,23,296.15,73.4,9.30585473,10
476,21-04-11,-2,271.15,28.4,2.791030637,13
477,22-04-11,23,296.15,73.4,9.946856649,17
478,23-04-11,9,282.15,48.2,2.478243556,24
479,24-04-11,3,276.15,37.4,1.338198155,50
480,25-04-11,22,295.15,71.6,2.164665885,1
481,26-04-11,5,278.15,41,6.241373375,43
482,27-04-11,25,298.15,77,9.167324745,13
483,28-04-11,18,291.15,64.4,6.514495392,6
484,29-04-11,0,273.15,32,2.814291397,50
485,30-04-11,15,288.15,59,9.365808916,16
486,01-05-11,-4,269.15,24.8,4.090090443,29
487,02-05-11,22,295.15,71.6,9.82957991,1
488,03-05-11,-2,271.15,28.4,6.43679878,5
489,04-05-11,-9,264.15,15.8,5.229946972,14
490,05-05-11,25,298.15,77,3.504131809,45
491,06-05-11,22,295.15,71.6,0.418644165,41
492,07-05-11,-9,264.15,15.8,1.569875718,4
493,08-05-11,23,296.15,73.4,2.433976458,34
494,09-05-11,3,276.15,37.4,0.832324651,14
495,10-05-11,5,278.15,41,2.654467691,14
496,11-05-11,24,297.15,75.2,6.045583901,7
497,12-05-11,-5,268.15,23,1.994336541,37
498,13-05-11,12,285.15,53.6,1.363617373,0
499,14-05-11,18,291.15,64.4,2.20610905,19
500,15-05-11,7,280.15,44.6,4.282177228,1
501,16-05-11,8,281.15,46.4,0.641635139,23
502,17-05-11,23,296.15,73.4,7.740970786,15
503,18-05-11,18,291.15,64.4,9.085894809,21
504,19-05-11,7,280.15,44.6,8.113201955,18
505,20-05-11,3,276.15,37.4,7.697026315,17
506,21-05-11,15,288.15,59,8.86348553,47
507,22-05-11,16,289.15,60.8,1.88033145,15
508,23-05-11,29,302.15,84.2,6.083910082,32
509,24-05-11,-5,268.15,23,5.509596957,7
510,25-05-11,19,292.15,66.2,2.331098625,38
511,26-05-11,1,274.15,33.8,7.109627015,46
512,27-05-11,-1,272.15,30.2,0.056848305,4
513,28-05-11,12,285.15,53.6,8.413005917,0
514,29-05-11,-1,272.15,30.2,6.185231339,35
515,30-05-11,2,275.15,35.6,5.627734693,7
516,31-05-11,-6,267.15,21.2,5.644120304,8
517,01-06-11,6,279.15,42.8,1.450809309,44
518,02-06-11,-1,272.15,30.2,8.858708201,1
519,03-06-11,-2,271.15,28.4,6.333096288,47
520,04-06-11,11,284.15,51.8,1.530008697,20
521,05-06-11,26,299.15,78.8,7.869019505,8
522,06-06-11,27,300.15,80.6,4.350369567,17
523,07-06-11,25,298.15,77,9.997847262,42
524,08-06-11,1,274.15,33.8,0.182993471,24
525,09-06-11,7,280.15,44.6,5.413910692,34
526,10-06-11,15,288.15,59,0.322876042,12
527,11-06-11,28,301.15,82.4,8.098563572,34
528,12-06-11,-7,266.15,19.4,3.674294285,28
529,13-06-11,18,291.15,64.4,1.349789119,13
530,14-06-11,12,285.15,53.6,5.948991059,42
531,15-06-11,14,287.15,57.2,4.460415968,27
532,16-06-11,15,288.15,59,4.738119173,30
533,17-06-11,-7,266.15,19.4,5.007963121,9
534,18-06-11,0,273.15,32,7.970521945,0
535,19-06-11,7,280.15,44.6,2.890222675,36
536,20-06-11,22,295.15,71.6,8.778078506,18
537,21-06-11,14,287.15,57.2,4.470840069,10
